Unique_ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,unit_faculty,demographic_sex
1450,56,58.73,36.03,41.07,6.15,14,25,80.36,46.43,7.14,3.57,0,0,3.57,0,0,3.57,3.57,12.5,5.36,10.71,7.14,3.57,12.5,5.36,1.79,8.93,3.57,3.57,12.5,5.36,7.14,0,3.57,0,3.57,0,0,0,0,28.57,3.57,10.71,3.57,7.14,0,7.14,1.79,1.79,0,0,0,0,0,0,0,10.71,0,3.57,0,3.57,3.57,1.79,7.14,0,12.5,3.57,3.57,5.36,1.79,0,0,0,0,0,1.79,0,0,1.79,0,0,16.07,1.79,1.79,0,0,3.57,0,3.57,0,1.79,3.57,0,Faculty of Art Des & Architecture,F
2579,119,83.06,84.34,71.29,84.87,13.22,27.73,87.39,43.7,8.4,3.36,0,0,3.36,0,0,5.04,7.56,10.92,10.08,3.36,4.2,0,13.45,8.4,3.36,1.68,5.04,0.84,4.2,3.36,0,0,0,0,12.61,0,0,0,0,12.61,5.04,1.68,0.84,1.68,0,5.88,0.84,0,0,0.84,0.84,0.84,0,0,0,10.08,2.52,2.52,4.2,0.84,0.84,0,14.29,0.84,14.29,3.36,5.04,5.88,7.56,0,0,0,0,0,0,0,0,0,0,0,7.56,7.56,0,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,M
3166,74,51.94,24.95,71.04,97.99,12.33,18.92,89.19,45.95,16.22,13.51,12.16,0,1.35,0,0,2.7,2.7,16.22,9.46,6.76,6.76,0,18.92,6.76,2.7,1.35,0,2.7,5.41,5.41,0,0,0,0,4.05,0,0,0,0,12.16,2.7,4.05,1.35,0,4.05,0,4.05,4.05,0,0,0,0,0,0,0,14.86,1.35,2.7,4.05,6.76,0,2.7,18.92,0,10.81,0,5.41,6.76,12.16,0,1.35,1.35,0,0,0,0,0,0,0,0,17.57,4.05,2.7,0,0,0,4.05,0,0,6.76,0,0,Faculty of Art Des & Architecture,M
2584,63,72.21,95.95,47.57,7.46,21,25.4,82.54,46.03,11.11,7.94,0,3.17,0,3.17,1.59,3.17,3.17,15.87,6.35,3.17,11.11,0,14.29,7.94,3.17,0,0,0,1.59,0,1.59,0,0,0,14.29,0,0,0,3.17,6.35,4.76,3.17,0,0,0,0,0,0,0,0,6.35,1.59,6.35,0,0,14.29,7.94,3.17,1.59,0,1.59,0,15.87,0,19.05,4.76,12.7,1.59,3.17,6.35,0,0,0,0,0,0,0,0,0,0,11.11,3.17,4.76,0,0,0,0,0,0,3.17,0,0,Faculty of Art Des & Architecture,M
2180,101,90.04,46.04,19.51,43.84,25.25,27.72,84.16,53.47,7.92,1.98,0,0,0,0,1.98,5.94,8.91,17.82,6.93,6.93,6.93,0.99,9.9,2.97,1.98,0,0,0.99,4.95,2.97,1.98,0,0.99,0.99,4.95,0,0,0,0,12.87,5.94,2.97,0.99,0.99,0,4.95,0.99,0,0,0,0.99,0,0.99,0,0,9.9,0.99,3.96,2.97,1.98,0.99,2.97,5.94,0,5.94,0,5.94,0,9.9,0,0,9.9,0,0,0.99,0,0,0,0.99,0,7.92,3.96,1.98,0,0,0,0,0.99,0,0.99,0,0,Faculty of Art Des & Architecture,F
63,124,77.26,99,24.89,99,24.8,26.61,91.94,45.97,14.52,8.06,0.81,5.65,0,0,1.61,6.45,3.23,16.13,5.65,2.42,7.26,0,16.13,4.84,4.84,3.23,0,1.61,11.29,10.48,0.81,0.81,0,0,20.16,0,0,0,0,13.71,3.23,4.03,1.61,2.42,0.81,1.61,0.81,0.81,0,0,0,0,0,0,0,18.55,8.06,4.84,7.26,4.03,0,2.42,9.68,0,12.9,3.23,6.45,3.23,13.71,0,0,7.26,0,0,0,0,0,0,0,0,11.29,3.23,4.84,0,0,0.81,0,1.61,0,0.81,0,0,Faculty of Art Des & Architecture,M
637,201,90.62,38.25,11.94,99,18.27,15.92,81.59,53.73,7.46,1.99,1,0.5,0.5,0,0,5.47,16.42,10.95,9.95,5.47,4.98,1.99,16.92,4.98,2.99,1,1.99,4.48,6.97,6.47,0.5,0.5,0,0,2.99,0,0,0,0,17.91,3.48,4.98,2.99,3.98,1,3.98,1,0,0,1,1,0.5,0,0,0.5,8.46,1,3.48,2.99,2.99,0.5,0.5,11.44,1.49,8.46,0,4.98,2.99,3.48,0,0,0,0,0,0,0,0,0,0,0,13.93,5.47,5.47,0,0,0,0,2.49,0,0.5,0,0,Faculty of Art Des & Architecture,M
1343,77,98.34,34.83,13.15,74.18,12.83,29.87,74.03,46.75,3.9,0,0,0,0,0,0,3.9,11.69,16.88,5.19,2.6,5.19,2.6,12.99,1.3,0,1.3,1.3,1.3,2.6,2.6,0,0,0,0,2.6,0,0,0,0,20.78,9.09,5.19,3.9,0,0,3.9,1.3,0,0,1.3,0,0,0,0,0,5.19,0,2.6,0,2.6,0,0,10.39,0,5.19,0,3.9,1.3,7.79,0,0,1.3,0,0,0,0,0,0,0,0,15.58,7.79,0,1.3,0,0,0,2.6,2.6,1.3,0,0,Faculty of Art Des & Architecture,F
2008,84,99,68.29,23.51,99,21,30.95,84.52,46.43,4.76,3.57,2.38,0,1.19,0,0,1.19,19.05,15.48,3.57,0,3.57,0,9.52,8.33,5.95,0,1.19,4.76,5.95,5.95,0,0,0,0,5.95,1.19,0,0,1.19,4.76,3.57,1.19,0,0,0,0,4.76,3.57,1.19,0,2.38,0,0,0,2.38,9.52,1.19,3.57,7.14,1.19,0,2.38,5.95,0,10.71,0,8.33,2.38,1.19,2.38,0,0,0,0,0,0,0,0,0,0,9.52,4.76,3.57,0,0,0,0,1.19,0,0,0,0,Faculty of Art Des & Architecture,M
3908,101,88.74,18.65,90.06,90.82,20.2,15.84,94.06,59.41,19.8,9.9,8.91,0.99,0,0,0,9.9,7.92,21.78,4.95,5.94,1.98,0.99,15.84,5.94,3.96,1.98,0,1.98,3.96,3.96,0,0,0,0,2.97,0.99,0,0,0,14.85,7.92,0.99,0.99,1.98,0,2.97,0,0,0,0,2.97,0.99,1.98,0,0,9.9,1.98,5.94,1.98,0.99,0,2.97,12.87,0,9.9,0.99,4.95,3.96,4.95,0,0,1.98,0.99,0,0.99,0,0,0,0.99,0,13.86,4.95,4.95,0,0,0,0,0.99,0,2.97,0,0,Faculty of Art Des & Architecture,F
